Lineales,Interacciones,MAE
"['aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8758218057205428
"['aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8758218057205431
"['visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8758218057205432
"['visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8758218057205432
"['madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8758500367432374
"['edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8758500367432374
"['madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8758500367432374
"['edad_madre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8758500367432375
"['madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8758555803225011
"['madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8758555803225011
"['madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8758555803225012
"['madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8758555803225012
"['edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_madre', 'visitas_medico']",0.875927833354119
"['madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8759278333541193
"['madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8759278333541193
"['edad_madre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8759278333541193
"['madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.875937023513835
"['madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.875937023513835
"['madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8759370235138353
"['madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8759370235138353
"['aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8760809021180461
"['visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8760809021180463
"['aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8760809021180463
"['visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8760809021180463
"['edad_padre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8766182063310605
"['edad_padre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8766182063310605
"['edad_padre', 'edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8766182063310606
"['edad_padre', 'edad_madre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8766182063310606
"['edad_padre', 'edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_madre', 'visitas_medico']",0.876635513807695
"['edad_padre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8766355138076952
